id,pop,location,lat,lon
SK3B03,booroolong,Abercrombie_Sink,-34.1,149.7
BH2B26,booroolong,Abercrombie_Beach,-34.1,149.6
SK3B11,booroolong,Abercrombie_Sink,-34.1,149.7
FH3B09,booroolong,Locksley_Fish_Rr,-33.5,149.8
CK5BT03,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
BM3L01,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
BM3B01,booroolong,Abercrombie_Bummaroo_Ford,-34.2,149.7
GN2L01,wilcoxii,Abercrombie_Glen,-34,149.7
GN2B07,booroolong,Abercrombie_Glen,-34,149.7
GN3L02,wilcoxii,Abercrombie_Glen,-34,149.7
GN2B08,booroolong,Abercrombie_Glen,-34,149.7
SC3B01,booroolong,Abercrombie_Silent_Ck,-34.1,149.7
BM3L09,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
BH2B08,booroolong,Abercrombie_Beach,-34.1,149.6
BH2B06,booroolong,Abercrombie_Beach,-34.1,149.6
BM3L11,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
FH3B03,booroolong,Locksley_Fish_Rr,-33.5,149.8
BM3L13,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
GN2B03,booroolong,Abercrombie_Glen,-34,149.7
SK2B06,booroolong,Abercrombie_Sink,-34.1,149.7
CK5BT19,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
SK3B01,booroolong,Abercrombie_Sink,-34.1,149.7
BM3L14,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
BH2B10,booroolong,Abercrombie_Beach,-34.1,149.6
GN2B11,booroolong,Abercrombie_Glen,-34,149.7
FH3B20,booroolong,Locksley_Fish_Rr,-33.5,149.8
BH2L08,wilcoxii,Abercrombie_Beach,-34.1,149.6
FH3B12,booroolong,Locksley_Fish_Rr,-33.5,149.8
BH2L05,wilcoxii,Abercrombie_Beach,-34.1,149.6
GN2B12,booroolong,Abercrombie_Glen,-34,149.7
SK3L01,wilcoxii,Abercrombie_Sink,-34.1,149.7
BH2B03,booroolong,Abercrombie_Beach,-34.1,149.6
FH3B02,booroolong,Locksley_Fish_Rr,-33.5,149.8
BH2L11,wilcoxii,Abercrombie_Beach,-34.1,149.6
CK5BT02,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
FH3B06,booroolong,Locksley_Fish_Rr,-33.5,149.8
GN5BT11,booroolong,Abercrombie_Glen,-34,149.7
BH2L04,wilcoxii,Abercrombie_Beach,-34.1,149.6
FH3B11,booroolong,Locksley_Fish_Rr,-33.5,149.8
BH2B14,booroolong,Abercrombie_Beach,-34.1,149.6
CK5BT16,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
FH3B05,booroolong,Locksley_Fish_Rr,-33.5,149.8
BH2B01,booroolong,Abercrombie_Beach,-34.1,149.6
CK5BT14,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
FH3B13,booroolong,Locksley_Fish_Rr,-33.5,149.8
SK3L02,wilcoxii,Abercrombie_Sink,-34.1,149.7
FH3B07,booroolong,Locksley_Fish_Rr,-33.5,149.8
SK2B03,booroolong,Abercrombie_Sink,-34.1,149.7
BH2L15,wilcoxii,Abercrombie_Beach,-34.1,149.6
CK5BT12,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
BH2L03,wilcoxii,Abercrombie_Beach,-34.1,149.6
BM3L10,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
FH3B16,booroolong,Locksley_Fish_Rr,-33.5,149.8
CK5BT18,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
BM3L04,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
BH2B11,booroolong,Abercrombie_Beach,-34.1,149.6
FH3B18,booroolong,Locksley_Fish_Rr,-33.5,149.8
SK2B02,booroolong,Abercrombie_Sink,-34.1,149.7
SK3B18,booroolong,Abercrombie_Sink,-34.1,149.7
SK5BT07,booroolong,Abercrombie_Sink,-34.1,149.7
BH2B04,booroolong,Abercrombie_Beach,-34.1,149.6
BH2L09,wilcoxii,Abercrombie_Beach,-34.1,149.6
FH3B10,booroolong,Locksley_Fish_Rr,-33.5,149.8
GN2B04,booroolong,Abercrombie_Glen,-34,149.7
BH2L13,wilcoxii,Abercrombie_Beach,-34.1,149.6
CK5BXX,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
BM3L05,wilcoxii,Abercrombie_Bummaroo_Ford,-34.2,149.7
SK2B07,booroolong,Abercrombie_Sink,-34.1,149.7
GN2B15,booroolong,Abercrombie_Glen,-34,149.7
BH2B07,booroolong,Abercrombie_Beach,-34.1,149.6
GN5LT04,wilcoxii,Abercrombie_Glen,-34,149.7
BH2L17,wilcoxii,Abercrombie_Beach,-34.1,149.6
CK5BT10,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
SK2B01,booroolong,Abercrombie_Sink,-34.1,149.7
FH3B08,booroolong,Locksley_Fish_Rr,-33.5,149.8
CK5BT04,booroolong,Essington_SF_Captain_Kings_Ck,-33.7,149.7
BH2L14,wilcoxii,Abercrombie_Beach,-34.1,149.6
SK3B02,booroolong,Abercrombie_Sink,-34.1,149.7
SK3B04,booroolong,Abercrombie_Sink,-34.1,149.7
GN2B14,booroolong,Abercrombie_Glen,-34,149.7
SK3L03,wilcoxii,Abercrombie_Sink,-34.1,149.7
BH2L16,wilcoxii,Abercrombie_Beach,-34.1,149.6
BH2L02,wilcoxii,Abercrombie_Beach,-34.1,149.6
