id,sex,SVL_mm,mass_g
SK3B03,M,29,3.7
BH2B26,F,40,10.5
SK3B11,M,36,4.3
FH3B09,M,34,5.7
CK5BT03,M,36,5.5
BM3L01,M,37,8
BM3B01,M,26,4
GN2L01,M,38,7.1
GN2B07,unknown,39,7.4
GN3L02,M,39,8.1
GN2B08,M,30,4.6
SC3B01,M,33,5
BM3L09,M,45,9.7
BH2B08,M,33,4.4
BH2B06,M,33,5.3
BM3L11,M,37,5
FH3B03,M,29,3.8
BM3L13,M,40,7.9
GN2B03,M,33,4.7
SK2B06,M,33,4.2
CK5BT19,F,44,12
SK3L02-B01,M,33,5.4
BM3L14,M,40,6.5
BH2B10,unknown,31,3.9
GN2B11,F,40,9.8
FH3B20,M,27,3.2
BH2L08,M,38,7.5
FH3B12,M,27,3.2
BH2L05,M,41,8.9
GN2B12,unknown,29,3.7
SK3L01,M,41,8.6
BH2B03,M,32,4.4
FH3B02,unknown,26,3
BH2L11,unknown,42,8.8
CK5BT02,F,47,10
FH3B06,M,34,4.4
GN5BT06-T11,unknown,34,5.3
BH2L04,M,41,7.9
FH3B11,unknown,31,5.6
BH2B14,M,34,4.7
CK5BT16,F,51,16
FH3B05,M,27,3.2
BH2B01,M,31,4.2
CK5BT14,F,48.5,13.5
FH3B13,M,26,3.1
SK3L02,M,41,9.1
FH3B07,M,31,4.7
SK2B03,M,33,4.7
BH2L15,F,42,9.1
CK5BT12,F,47.5,19
BH2L03,unknown,36,5.2
BM3L10,M,39,7
FH3B16,unknown,33,4.4
CK5BT18,unknown,35,4.9
BM3L04,M,40,7.5
BH2B11,F,41,9.1
FH3B18,F,49,15.5
SK2B02,M,35,5.5
SK3B18,M,39,6.6
SK5BT07,F,43,10.5
BH2B04,unknown,36,6.4
BH2L09,unknown,42,7.9
FH3B10,M,30,4
GN2B04,unknown,36,5.6
BH2L13,M,35,5.5
BM3L05,M,43,8.6
SK2B07,F,37,7.3
GN2B15,unknown,36,6.2
BH2B07,M,33,4.9
GN5LT04,M,45,12
BH2L17,F,41,7.8
CK5BT10,M,34,5.2
SK2B01,F,39,8.6
FH3B08,unknown,38,4.2
CK5BT04,M,37,5.4
BH2L14,F,41,8.1
SK3B02,M,32,4.2
SK3B04,F,47,15.5
GN2B14,M,30,3.7
SK3L03,M,43,8.9
BH2L16,F,50,14.5
BH2L02,unknown,35,3.4
BH2L12,F,45,11.8
BM3L06,M,39,8.2
FH3B19,M,31,4.3
GN2B10,unknown,38,5.8
FH3B17,M,33,4.2
SK3B12,F,43,15
SK3L04,M,41,6.9
SK3B05,M,39,6.5
FH3B04,unknown,26,3.8
GN2B16,unknown,37,5.6
GN2B02,F,39,7.1
GN2B09,M,33,5.1
GN3L01,M,44,8.6
CK5BT20,M,33.5,5
FH3B14,M,30,4.7
SK2L01,unknown,42,9.2
BH2B09,F,44,12.2
SK2B04,unknown,34,4.9
SK2B05,unknown,29,3.2
BM3L07,M,40,7.8
SC3B02,M,33,5.4
BH2L01,M,39,6.2
BH2B05,M,33,5.3
BH2B13,unknown,35,5.1
CK5BT07,M,34,5.7
FH3B15,M,28,2.9
BM3L03,M,38,5.9
SK3B06,M,36,5.8
CK5BT17,F,48,13.5
CK5BT06,M,34,4.9
BH2L06,unknown,38,5.8
BM3L08,M,41,7.9
BM3L12,M,38,6
BH2L07,unknown,39,7.5
BM3L02,M,35,7
BH2L10,unknown,45,10.8
CK5BT05-T01,F,46,12
CK5BT09,unknown,46,14
GN2B01,M,33,5.4
GN5BT02,M,40,7.9
BH2B15,unknown,37,7.2
BH2B02,unknown,24,2.1
CK5BT13,F,46,14
BH2B12,unknown,45,11.5
