frog_number,validator,species_code
Frog_001,V1,W
Frog_001,V2,W
Frog_001,V3,W
Frog_002,V1,BB
Frog_002,V2,B
Frog_002,V3,B
Frog_003,V1,W
Frog_003,V2,W
Frog_003,V3,BW
Frog_004,V1,B
Frog_004,V2,BB
Frog_004,V3,B
Frog_005,V1,F1
Frog_005,V2,BB
Frog_005,V3,F1
Frog_006,V1,B
Frog_006,V2,B
Frog_006,V3,B
Frog_007,V1,B
Frog_007,V2,B
Frog_007,V3,B
Frog_008,V1,W
Frog_008,V2,W
Frog_008,V3,BW
Frog_009,V1,W
Frog_009,V2,W
Frog_009,V3,W
Frog_010,V1,BB
Frog_010,V2,BB
Frog_010,V3,B
Frog_011,V1,W
Frog_011,V2,W
Frog_011,V3,F1
Frog_012,V1,B
Frog_012,V2,B
Frog_012,V3,B
Frog_013,V1,B
Frog_013,V2,B
Frog_013,V3,B
Frog_014,V1,BB
Frog_014,V2,BB
Frog_014,V3,B
Frog_015,V1,B
Frog_015,V2,B
Frog_015,V3,B
Frog_016,V1,W
Frog_016,V2,W
Frog_016,V3,W
Frog_017,V1,F1
Frog_017,V2,BW
Frog_017,V3,B
Frog_018,V1,W
Frog_018,V2,W
Frog_018,V3,W
Frog_019,V1,BB
Frog_019,V2,B
Frog_019,V3,B
Frog_020,V1,W
Frog_020,V2,W
Frog_020,V3,W
Frog_021,V1,B
Frog_021,V2,B
Frog_021,V3,B
Frog_022,V1,B
Frog_022,V2,B
Frog_022,V3,B
Frog_023,V1,B
Frog_023,V2,B
Frog_023,V3,B
Frog_024,V1,F1
Frog_024,V2,BB
Frog_024,V3,F1
Frog_025,V1,F2
Frog_025,V2,BW
Frog_025,V3,B
Frog_026,V1,W
Frog_026,V2,W
Frog_026,V3,W
Frog_027,V1,W
Frog_027,V2,W
Frog_027,V3,W
Frog_028,V1,BB
Frog_028,V2,BB
Frog_028,V3,W
Frog_029,V1,BB
Frog_029,V2,B
Frog_029,V3,B
Frog_030,V1,B
Frog_030,V2,B
Frog_030,V3,B
Frog_031,V1,W
Frog_031,V2,W
Frog_031,V3,W
Frog_032,V1,BB
Frog_032,V2,B
Frog_032,V3,B
Frog_033,V1,W
Frog_033,V2,W
Frog_033,V3,W
Frog_034,V1,B
Frog_034,V2,B
Frog_034,V3,B
Frog_035,V1,W
Frog_035,V2,W
Frog_035,V3,W
Frog_036,V1,BB
Frog_036,V2,B
Frog_036,V3,B
Frog_037,V1,B
Frog_037,V2,B
Frog_037,V3,B
Frog_038,V1,W
Frog_038,V2,W
Frog_038,V3,W
Frog_039,V1,W
Frog_039,V2,W
Frog_039,V3,W
Frog_040,V1,B
Frog_040,V2,B
Frog_040,V3,B
Frog_041,V1,W
Frog_041,V2,W
Frog_041,V3,W
Frog_042,V1,W
Frog_042,V2,W
Frog_042,V3,W
Frog_043,V1,B
Frog_043,V2,
Frog_043,V3,B
Frog_044,V1,B
Frog_044,V2,B
Frog_044,V3,B
Frog_045,V1,B
Frog_045,V2,B
Frog_045,V3,B
Frog_046,V1,W
Frog_046,V2,BB
Frog_046,V3,W
Frog_047,V1,B
Frog_047,V2,B
Frog_047,V3,B
Frog_048,V1,F1
Frog_048,V2,BW
Frog_048,V3,F1
Frog_049,V1,B
Frog_049,V2,B
Frog_049,V3,B
Frog_050,V1,B
Frog_050,V2,B
Frog_050,V3,B
Frog_051,V1,B
Frog_051,V2,B
Frog_051,V3,B
Frog_052,V1,B
Frog_052,V2,B
Frog_052,V3,B
Frog_053,V1,W
Frog_053,V2,W
Frog_053,V3,W
Frog_054,V1,BB
Frog_054,V2,BB
Frog_054,V3,B
Frog_055,V1,F2
Frog_055,V2,BW
Frog_055,V3,B
Frog_056,V1,F2
Frog_056,V2,W
Frog_056,V3,F1
Frog_057,V1,B
Frog_057,V2,B
Frog_057,V3,B
Frog_058,V1,W
Frog_058,V2,W
Frog_058,V3,BW
Frog_059,V1,B
Frog_059,V2,B
Frog_059,V3,B
Frog_060,V1,B
Frog_060,V2,B
Frog_060,V3,B
Frog_061,V1,B
Frog_061,V2,B
Frog_061,V3,B
Frog_062,V1,W
Frog_062,V2,W
Frog_062,V3,W
Frog_063,V1,B
Frog_063,V2,BB
Frog_063,V3,B
Frog_064,V1,B
Frog_064,V2,B
Frog_064,V3,B
Frog_065,V1,B
Frog_065,V2,B
Frog_065,V3,B
Frog_066,V1,B
Frog_066,V2,B
Frog_066,V3,B
Frog_067,V1,B
Frog_067,V2,B
Frog_067,V3,B
Frog_068,V1,B
Frog_068,V2,B
Frog_068,V3,B
Frog_069,V1,W
Frog_069,V2,W
Frog_069,V3,W
Frog_070,V1,W
Frog_070,V2,W
Frog_070,V3,W
Frog_071,V1,W
Frog_071,V2,W
Frog_071,V3,W
Frog_072,V1,BB
Frog_072,V2,B
Frog_072,V3,B
Frog_073,V1,BB
Frog_073,V2,B
Frog_073,V3,B
Frog_074,V1,BB
Frog_074,V2,B
Frog_074,V3,B
Frog_075,V1,BB
Frog_075,V2,BW
Frog_075,V3,B
Frog_076,V1,BB
Frog_076,V2,BW
Frog_076,V3,B
Frog_077,V1,B
Frog_077,V2,B
Frog_077,V3,B
Frog_078,V1,B
Frog_078,V2,B
Frog_078,V3,B
Frog_079,V1,B
Frog_079,V2,B
Frog_079,V3,B
Frog_080,V1,W
Frog_080,V2,W
Frog_080,V3,W
Frog_081,V1,W
Frog_081,V2,W
Frog_081,V3,W
Frog_082,V1,BB
Frog_082,V2,B
Frog_082,V3,B
Frog_083,V1,B
Frog_083,V2,B
Frog_083,V3,B
Frog_084,V1,W
Frog_084,V2,W
Frog_084,V3,W
Frog_085,V1,B
Frog_085,V2,B
Frog_085,V3,B
Frog_086,V1,BW
Frog_086,V2,W
Frog_086,V3,W
Frog_087,V1,BB
Frog_087,V2,BW
Frog_087,V3,B
Frog_088,V1,BW
Frog_088,V2,W
Frog_088,V3,F1
Frog_089,V1,B
Frog_089,V2,B
Frog_089,V3,B
Frog_090,V1,BB
Frog_090,V2,BB
Frog_090,V3,F1
Frog_091,V1,BW
Frog_091,V2,W
Frog_091,V3,BW
Frog_092,V1,B
Frog_092,V2,B
Frog_092,V3,B
Frog_093,V1,B
Frog_093,V2,B
Frog_093,V3,B
Frog_094,V1,BB
Frog_094,V2,BB
Frog_094,V3,B
Frog_095,V1,B
Frog_095,V2,B
Frog_095,V3,B
Frog_096,V1,B
Frog_096,V2,BW
Frog_096,V3,B
Frog_097,V1,B
Frog_097,V2,B
Frog_097,V3,B
Frog_098,V1,W
Frog_098,V2,W
Frog_098,V3,W
Frog_099,V1,W
Frog_099,V2,W
Frog_099,V3,W
Frog_100,V1,B
Frog_100,V2,B
Frog_100,V3,B
Frog_101,V1,W
Frog_101,V2,W
Frog_101,V3,W
Frog_102,V1,BB
Frog_102,V2,BB
Frog_102,V3,B
Frog_103,V1,BB
Frog_103,V2,B
Frog_103,V3,B
Frog_104,V1,B
Frog_104,V2,B
Frog_104,V3,B
Frog_105,V1,B
Frog_105,V2,B
Frog_105,V3,B
Frog_106,V1,BB
Frog_106,V2,BB
Frog_106,V3,B
Frog_107,V1,B
Frog_107,V2,B
Frog_107,V3,B
Frog_108,V1,B
Frog_108,V2,B
Frog_108,V3,B
Frog_109,V1,B
Frog_109,V2,B
Frog_109,V3,B
Frog_110,V1,B
Frog_110,V2,B
Frog_110,V3,B
Frog_111,V1,B
Frog_111,V2,B
Frog_111,V3,B
Frog_112,V1,W
Frog_112,V2,W
Frog_112,V3,W
Frog_113,V1,BW
Frog_113,V2,W
Frog_113,V3,BW
Frog_114,V1,B
Frog_114,V2,BB
Frog_114,V3,B
Frog_115,V1,F1
Frog_115,V2,BB
Frog_115,V3,B
Frog_116,V1,W
Frog_116,V2,W
Frog_116,V3,W
Frog_117,V1,B
Frog_117,V2,B
Frog_117,V3,B
Frog_118,V1,B
Frog_118,V2,B
Frog_118,V3,B
Frog_119,V1,F1
Frog_119,V2,BW
Frog_119,V3,BB
Frog_120,V1,B
Frog_120,V2,B
Frog_120,V3,B
Frog_121,V1,BB
Frog_121,V2,B
Frog_121,V3,B
Frog_122,V1,W
Frog_122,V2,W
Frog_122,V3,W
Frog_123,V1,BW
Frog_123,V2,W
Frog_123,V3,BW
Frog_124,V1,BB
Frog_124,V2,BB
Frog_124,V3,B
Frog_125,V1,BB
Frog_125,V2,B
Frog_125,V3,B
Frog_126,V1,W
Frog_126,V2,W
Frog_126,V3,W
Frog_127,V1,B
Frog_127,V2,B
Frog_127,V3,B
Frog_128,V1,B
Frog_128,V2,BB
Frog_128,V3,B
Frog_129,V1,F1
Frog_129,V2,W
Frog_129,V3,F1
Frog_130,V1,W
Frog_130,V2,W
Frog_130,V3,BW
Frog_131,V1,B
Frog_131,V2,B
Frog_131,V3,B
Frog_132,V1,W
Frog_132,V2,W
Frog_132,V3,W
Frog_133,V1,B
Frog_133,V2,B
Frog_133,V3,B
Frog_134,V1,W
Frog_134,V2,W
Frog_134,V3,W
Frog_135,V1,BB
Frog_135,V2,B
Frog_135,V3,B
Frog_136,V1,B
Frog_136,V2,B
Frog_136,V3,B
Frog_137,V1,B
Frog_137,V2,B
Frog_137,V3,B
Frog_138,V1,B
