"id","pop","P0","P1","F1","F2","F1xP0","F1xP1"
"SK3B03","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CK5BT10","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"SK3L03","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"SK3B12","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"GN2B07","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"FH3B03","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"GN2B11","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"FH3B02","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CK5BT16","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L15","wilcoxii","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000"
"FH3B18","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L13","wilcoxii","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000"
"BH2B26","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"SK2B01","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L16","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"SK3L04","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"GN3L02","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"BM3L13","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"FH3B20","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L11","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"FH3B05","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CK5BT12","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"SK2B02","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"CK5BXX","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"SK3B11","booroolong","0.00000","0.00000","0.00000","0.00000","1.00000","0.00000"
"FH3B08","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L02","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"SK3B05","booroolong","0.00000","0.00000","0.00000","1.00000","0.00000","0.00000"
"GN2B08","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"GN2B03","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2L08","wilcoxii","0.00000","1.00000","0.00000","0.00000","0.00000","0.00000"
"CK5BT02","booroolong","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"BH2B01","booroolong","0.00000","0.00000","0.00000","0.00000","1.00000","0.00000"
