id,pop,likely_h_status,prob,alt_h_status,alt_prob
SK3B03,booroolong,boo,1,,
CK5BT10,booroolong,boo,1,,
SK3L03,wilcoxii,wil,1,,
SK3B12,booroolong,boo,1,,
GN2B07,booroolong,boo,1,,
FH3B03,booroolong,boo,1,,
GN2B11,booroolong,boo,1,,
FH3B02,booroolong,boo,1,,
CK5BT16,booroolong,boo,1,,
BH2L15,wilcoxii,F1xwil,1,,
FH3B18,booroolong,boo,1,,
BH2L13,wilcoxii,F1xwil,1,,
BH2B26,booroolong,boo,1,,
SK2B01,booroolong,boo,1,,
BH2L16,wilcoxii,wil,1,,
SK3L04,wilcoxii,wil,1,,
GN3L02,wilcoxii,wil,1,,
BM3L13,wilcoxii,wil,1,,
FH3B20,booroolong,boo,1,,
BH2L11,wilcoxii,wil,1,,
FH3B05,booroolong,boo,1,,
CK5BT12,booroolong,boo,1,,
SK2B02,booroolong,boo,1,,
CK5BXX,booroolong,boo,1,,
SK3B11,booroolong,F1xboo,1,,
FH3B08,booroolong,boo,1,,
BH2L02,wilcoxii,wil,1,,
SK3B05,booroolong,F2,1,,
GN2B08,booroolong,boo,1,,
GN2B03,booroolong,boo,1,,
BH2L08,wilcoxii,wil,1,,
CK5BT02,booroolong,boo,1,,
BH2B01,booroolong,F1xboo,1,,
BH2L03,wilcoxii,wil,1,,
SK3B18,booroolong,F2,1,,
BM3L05,wilcoxii,F1xwil,1,,
FH3B09,booroolong,boo,1,,
CK5BT04,booroolong,boo,1,,
BH2L12,wilcoxii,wil,1,,
FH3B04,booroolong,boo,1,,
SC3B01,booroolong,F1xboo,1,,
SK2B06,booroolong,F1xboo,1,,
FH3B12,booroolong,boo,1,,
FH3B06,booroolong,boo,1,,
CK5BT14,booroolong,boo,1,,
BM3L10,wilcoxii,wil,1,,
SK5BT07,booroolong,boo,1,,
SK2B07,booroolong,boo,1,,
CK5BT03,booroolong,boo,1,,
BH2L14,wilcoxii,F1xwil,1,,
BM3L06,wilcoxii,F1xwil,1,,
GN2B16,booroolong,boo,1,,
BM3L09,wilcoxii,wil,1,,
CK5BT19,booroolong,boo,1,,
BH2L05,wilcoxii,wil,1,,
GN5BT11,booroolong,boo,1,,
FH3B13,booroolong,boo,1,,
FH3B16,booroolong,boo,1,,
BH2B04,booroolong,boo,1,,
GN2B15,booroolong,boo,1,,
BM3L01,wilcoxii,wil,1,,
SK3B02,booroolong,boo,1,,
FH3B19,booroolong,boo,1,,
GN2B02,booroolong,boo,1,,
BH2B08,booroolong,boo,1,,
SK3B01,booroolong,F1xboo,1,,
GN2B12,booroolong,boo,1,,
BH2L04,wilcoxii,wil,1,,
SK3L02,wilcoxii,wil,1,,
CK5BT18,booroolong,boo,1,,
BH2L09,wilcoxii,wil,1,,
BH2B07,booroolong,boo,1,,
BM3B01,booroolong,boo,1,,
SK3B04,booroolong,boo,1,,
GN2B10,booroolong,boo,1,,
BH2B06,booroolong,boo,1,,
BM3L14,wilcoxii,wil,1,,
SK3L01,wilcoxii,wil,1,,
FH3B11,booroolong,boo,1,,
FH3B07,booroolong,boo,1,,
BM3L04,wilcoxii,F1xwil,1,,
FH3B10,booroolong,boo,1,,
GN5LT04,wilcoxii,wil,1,,
GN2L01,wilcoxii,wil,1,,
GN2B14,booroolong,boo,1,,
FH3B17,booroolong,boo,1,,
BM3L11,wilcoxii,F2,0.94621,F1,0.03535
BM3L11,wilcoxii,F2,0.94621,F1xP1,0.01845
BH2B10,booroolong,boo,0.99781,F1xP0,0.00219
BH2B03,booroolong,boo,1,,
BH2B14,booroolong,F2,1,,
SK2B03,booroolong,F1xboo,1,,
BH2B11,booroolong,boo,1,,
GN2B04,booroolong,boo,1,,
BH2L17,wilcoxii,wil,1,,
GN2B09,booroolong,boo,1,,
BM3L07,wilcoxii,wil,1,,
SK3B06,booroolong,F1xboo,1,,
BH2L10,wilcoxii,F1xwil,1,,
BH2B12,booroolong,boo,1,,
GN3L01,wilcoxii,wil,1,,
SC3B02,booroolong,F1xboo,1,,
CK5BT17,booroolong,boo,1,,
CK5BT01,booroolong,boo,1,,
CK5BT20,booroolong,boo,1,,
BH2L01,wilcoxii,wil,1,,
CK5BT06,booroolong,boo,1,,
CK5BT09,booroolong,boo,1,,
FH3B14,booroolong,boo,1,,
BH2B05,booroolong,F1xboo,0.99615,F2,0.00385
BH2L06,wilcoxii,F1xwil,1,,
GN2B01,booroolong,boo,1,,
SK2L01,wilcoxii,wil,1,,
BH2B13,booroolong,boo,1,,
BM3L08,wilcoxii,wil,1,,
GN5BT02,booroolong,F1,1,,
BH2B09,booroolong,F1xboo,1,,
CK5BT07,booroolong,boo,1,,
BM3L12,wilcoxii,F1,0.99647,F2,0.00353
BH2B15,booroolong,boo,1,,
SK2B04,booroolong,boo,0.974,F1xP0,0.026
FH3B15,booroolong,boo,1,,
BH2L07,wilcoxii,wil,1,,
BH2B02,booroolong,boo,1,,
SK2B05,booroolong,boo,0.97634,F1xP0,0.02366
BM3L03,wilcoxii,wil,1,,
BM3L02,wilcoxii,wil,1,,
CK5BT13,booroolong,boo,1,,
