id,PC1,PC2,PC3,PC4
SK3B03,-30.01027868,0.893071734,-6.656995942,-0.86013423
CK5BT10,-35.18620951,-0.827396616,2.031149959,0.464829998
SK3L03,62.18892271,-1.377873726,0.761490962,1.554768593
SK3B12,-21.87810285,-9.650958336,-4.522541044,-4.825278259
GN2B07,-28.54864865,-8.449630979,-2.62478849,-5.191755483
FH3B03,-34.80290825,-1.871724888,6.983815982,4.687034663
GN2B11,-34.0861193,0.692925235,-2.757180543,-1.909141512
FH3B02,-34.92205401,-1.962690002,6.850011605,4.244091616
CK5BT16,-35.14778521,-0.861737119,2.202015872,0.562190934
BH2L15,49.35843292,15.94166894,2.26609085,5.018410883
FH3B18,-34.95316723,-2.073543318,7.263700539,4.692847261
BH2L13,37.27609791,-12.18375057,-1.122588139,-2.624312247
BH2B26,-25.37518084,4.92347242,0.991706179,-5.137209021
SK2B01,-26.79044818,-4.689207271,-4.86282641,-3.826937837
BH2L16,60.59729781,3.996135991,-1.233755635,4.052805759
SK3L04,64.75140488,-0.733702717,0.805303036,1.084965465
GN3L02,65.10026314,-1.797443689,-1.558228676,2.668765749
BM3L13,64.61790705,-1.798233935,0.401001665,0.255735224
FH3B20,-34.76489363,-1.89963385,6.766023272,4.152267208
BH2L11,61.75448858,0.705070812,2.802533237,1.150322087
FH3B05,-34.79024933,-2.23538856,6.723654889,4.281462536
CK5BT12,-35.15692389,-0.715693175,1.853065136,0.438725374
SK2B02,-20.78632863,-1.705282774,-8.798074027,0.191979943
CK5BXX,-35.19322835,-0.841687119,2.091941907,0.401257753
SK3B11,-15.26171033,-7.591320337,-4.111350043,1.611230946
FH3B08,-34.61844687,-1.960223748,6.785217311,4.267189063
BH2L02,65.51314732,-1.045844295,-0.099012338,1.442560969
SK3B05,17.15331767,16.66216899,8.079925256,-12.83976512
GN2B08,-30.07288911,0.641299795,-2.961905173,-2.918359221
GN2B03,-28.84742897,1.727961762,-2.685622224,-4.319414321
BH2L08,61.35608477,-2.02746002,-0.020953034,-1.112243373
CK5BT02,-35.12616842,-0.707352264,1.3737904,-0.01290072
BH2B01,-9.851866923,9.660216325,7.468349488,-11.03744996
BH2L03,64.25618559,-1.704934975,0.331570253,1.494960365
SK3B18,8.214482509,18.3958764,4.346159927,-12.12239389
BM3L05,46.76116593,-1.760684288,6.671386754,-4.574084478
FH3B09,-35.16108581,-1.931129082,6.925856227,4.302863335
CK5BT04,-34.91051177,-0.792717971,1.924174232,0.385745306
BH2L12,61.25008076,1.642267252,0.997154291,-0.309379451
FH3B04,-34.91189088,-2.067710537,6.776739159,4.423783071
SC3B01,-13.41314102,-3.476426459,-8.107871178,3.914694148
SK2B06,-11.12687771,6.158560012,-14.40820139,6.627033944
FH3B12,-34.69284849,-1.812464546,6.698096443,4.045928221
FH3B06,-34.78832302,-1.810541355,6.082491422,3.729694133
CK5BT14,-35.176095,-0.820084264,2.042627591,0.386511841
BM3L10,62.1067918,1.381898284,-0.592729261,3.897516474
SK5BT07,-26.60321519,-3.276246174,-3.799245396,-1.66717016
SK2B07,-28.35176827,2.402349964,0.245146325,-2.288447214
CK5BT03,-35.37474583,-0.817281562,1.886459744,0.268868811
BH2L14,33.91657433,-8.07155648,-3.486350359,-2.847487383
BM3L06,42.53706601,-13.04852478,-2.070908338,-1.922084173
GN2B16,-30.58706447,2.744782371,-7.632539454,1.399675774
BM3L09,66.25800286,-0.424976578,0.236827909,1.289104326
CK5BT19,-35.1330677,-0.893249427,2.27226645,0.738421719
BH2L05,56.08483846,-0.599299513,2.65409244,-1.223994997
GN5BT11,-25.95845225,7.693142078,-5.086970895,8.303888938
FH3B13,-34.84983803,-2.003407898,7.122523233,4.502159486
FH3B16,-34.77237388,-1.997436933,6.905035201,4.600751482
BH2B04,-27.98310764,-6.0341804,-0.773967459,-4.758697008
GN2B15,-23.63389382,8.390344326,-9.790009968,5.950351816
BM3L01,61.74865911,-1.853458951,-0.637751945,2.265868152
SK3B02,-26.36125128,1.380626527,-6.746893918,-3.402999809
FH3B19,-34.81107539,-1.850430213,6.326594461,3.959808934
GN2B02,-31.49465553,0.150674112,-3.481063017,-1.262912399
BH2B08,-30.87176732,0.330461003,-1.090629853,-3.201735794
SK3B01,-12.32558903,-8.918945923,-0.485327148,-14.80126541
GN2B12,-25.88336392,7.751908578,-5.073337396,8.309445041
BH2L04,64.59462505,-0.151377049,0.070470637,0.43307821
SK3L02,62.55552856,-0.888458197,0.352692847,-0.02571444
CK5BT18,-35.18482331,-0.932597145,2.039876521,0.090375238
BH2L09,57.91101917,-4.107670736,1.88244426,-1.425901211
BH2B07,-23.99809955,1.785870718,-1.751142039,-6.535650351
BM3B01,-25.64998566,2.050199111,-1.89923144,2.870201394
SK3B04,-30.14459887,-0.001077478,-1.176408092,-1.708016638
GN2B10,-25.05332724,4.754517658,-5.226397712,2.09536665
BH2B06,-26.32060379,0.505618898,-7.145472667,-4.155247587
BM3L14,65.36154317,-0.830265596,0.456077365,0.859737024
SK3L01,64.33585577,-0.217475558,-0.533836821,0.671805474
FH3B11,-34.87536953,-2.158879985,6.911059455,4.508658872
FH3B07,-34.68012975,-1.957837622,6.998070845,4.460859152
BM3L04,53.4071704,10.77774073,2.113905186,3.601776869
FH3B10,-34.97247101,-1.851509175,6.945999787,4.024814607
GN5LT04,63.80732682,-2.084572939,0.521885272,-0.963734822
GN2L01,65.34262777,-1.509386907,0.188933972,0.471752942
GN2B14,-32.57984158,0.138556123,-5.244408638,-0.433583325
FH3B17,-34.86517934,-1.912195745,6.773097247,4.129924215
BM3L11,25.22494561,-3.563029607,-1.792375195,1.982962336
BH2B10,-23.81932215,5.984292605,-3.574077376,1.665965503
BH2B03,-28.29099146,-2.217379914,-1.357004804,-5.894179735
BH2B14,12.79361226,-0.47552234,-3.694494737,-14.40507103
SK2B03,-14.78849084,13.93597319,-7.852119069,5.277830561
BH2B11,-23.75695786,9.004057032,-6.485723576,5.097366459
GN2B04,-26.25396714,-1.159341284,-8.454705781,0.860861874
BH2L17,65.75570211,-0.5912957,0.200741577,1.018555764
GN2B09,-30.0165674,1.231085303,-4.023884039,-2.272674572
BM3L07,63.4074014,1.457435631,0.783568849,1.835575059
SK3B06,-6.242434841,9.741500885,2.53145652,-5.547754087
BH2L10,54.04565892,-2.448856859,1.890607366,-1.622798039
BH2B12,-27.45229055,-2.62539321,-6.154344425,-1.727880835
GN3L01,65.05923616,-0.506010904,0.451950127,0.499632185
SC3B02,-0.941648243,5.344376859,-15.40511454,10.51333132
CK5BT17,-35.03029427,-0.951472978,2.005570963,0.272228576
CK5BT01,-35.09332652,-0.868982399,2.076275695,0.251290829
CK5BT20,-35.18973759,-0.898092377,2.297606299,0.625253899
BH2L01,64.97496308,-1.910581211,0.189300384,1.294083047
CK5BT06,-34.76223573,-0.637944823,2.167338171,0.420070351
CK5BT09,-35.03217395,-0.772273356,2.147227415,0.308566978
FH3B14,-34.83528924,-1.846348783,6.400657659,3.949444021
BH2B05,-11.4210412,18.57035548,4.030629526,-8.756158477
BH2L06,54.77848332,2.063570405,3.400334876,1.747569986
GN2B01,-31.77220002,1.500066389,-5.151243991,-0.200435633
SK2L01,64.79764914,-1.284176746,0.78994861,0.079195078
BH2B13,-28.42118259,-1.851723346,-4.307731879,-3.924456675
BM3L08,65.71917627,-0.549043702,0.337426928,1.539311746
GN5BT02,16.3923019,-0.124243089,-2.1318347,-0.745513832
BH2B09,-14.63227842,-12.54759844,-3.248572683,-6.287725345
CK5BT07,-35.2852536,-0.962141639,2.393106852,0.625592295
BM3L12,17.14106255,-1.611971659,-2.156701537,0.25225579
BH2B15,-27.49347258,-0.627909308,-5.196622369,0.182388129
SK2B04,-24.06035487,7.465148631,5.522946207,-9.071197742
FH3B15,-35.00659185,-1.827134903,6.507666741,4.003738032
BH2L07,66.10778835,-0.729242186,0.438980768,1.074987436
BH2B02,-25.44054322,-0.667421305,-1.379098198,-5.849778331
SK2B05,-20.00174433,-10.73335493,-7.555723755,-4.630583875
BM3L03,64.50137777,0.354834899,0.305871861,2.101029778
BM3L02,62.97986935,-1.535106597,1.188775934,-0.764383675
CK5BT13,-35.08427646,-0.831718095,1.919396433,0.228038703
